video_id,query_id,query_text,time,detector_score,crop_score
video_01,q003,a yellow car,123.0,0.7462298274040222,0.06568434834480286
video_01,q001,a man with a red backpack,124.0,0.32302266359329224,0.05379622057080269
video_01,q002,a cyclist,124.0,0.44970932602882385,0.08120077103376389
video_01,q003,a yellow car,124.0,0.7799317836761475,0.06318884342908859
video_01,q001,a man with a red backpack,125.0,0.34111765027046204,0.045718759298324585
video_01,q002,a cyclist,125.0,0.43271252512931824,0.09764859080314636
video_01,q003,a yellow car,125.0,0.6915861964225769,0.06394998729228973
video_01,q001,a man with a red backpack,126.0,0.33558720350265503,0.0684032142162323
video_01,q002,a cyclist,126.0,0.4458348751068115,0.10864570736885071
video_01,q003,a yellow car,126.0,0.7761054635047913,0.067205511033535
video_01,q001,a man with a red backpack,127.0,0.338133841753006,0.056290823966264725
video_01,q002,a cyclist,127.0,0.4034964144229889,0.05812333524227142
video_01,q003,a yellow car,127.0,0.7862378358840942,0.06648575514554977
video_01,q001,a man with a red backpack,128.0,0.0,
video_01,q002,a cyclist,128.0,0.3012426793575287,0.06666605174541473
video_01,q003,a yellow car,128.0,0.646067202091217,0.06621401011943817
video_01,q001,a man with a red backpack,129.0,0.0,
video_01,q002,a cyclist,129.0,0.3004764914512634,0.06274531036615372
video_01,q003,a yellow car,129.0,0.7015989422798157,0.06575986742973328
video_01,q001,a man with a red backpack,130.0,0.0,
video_01,q002,a cyclist,130.0,0.32723426818847656,0.07142413407564163
video_01,q003,a yellow car,130.0,0.606640100479126,0.06515395641326904
video_01,q001,a man with a red backpack,131.0,0.0,
video_01,q002,a cyclist,131.0,0.33680668473243713,0.060114480555057526
video_01,q003,a yellow car,131.0,0.5868529677391052,0.06684032827615738
video_01,q001,a man with a red backpack,132.0,0.0,
video_01,q002,a cyclist,132.0,0.36818480491638184,0.05917352810502052
video_01,q003,a yellow car,132.0,0.6147914528846741,0.09017734974622726
video_01,q001,a man with a red backpack,133.0,0.0,
video_01,q002,a cyclist,133.0,0.38367903232574463,0.055927008390426636
video_01,q003,a yellow car,133.0,0.5684559345245361,0.09132800996303558
video_01,q001,a man with a red backpack,134.0,0.0,
video_01,q002,a cyclist,134.0,0.30055147409439087,0.06726934760808945
video_01,q003,a yellow car,134.0,0.4825833737850189,0.08780384063720703
video_01,q001,a man with a red backpack,135.0,0.0,
video_01,q002,a cyclist,135.0,0.307548850774765,0.0667204037308693
video_01,q003,a yellow car,135.0,0.6125255227088928,0.06647764891386032
video_01,q001,a man with a red backpack,136.0,0.0,
video_01,q002,a cyclist,136.0,0.35016244649887085,0.0727657899260521
video_01,q003,a yellow car,136.0,0.6507258415222168,0.0646241158246994
video_01,q001,a man with a red backpack,137.0,0.0,
video_01,q002,a cyclist,137.0,0.33705782890319824,0.06643975526094437
video_01,q003,a yellow car,137.0,0.8592655062675476,0.10442010313272476
video_01,q001,a man with a red backpack,138.0,0.0,
video_01,q002,a cyclist,138.0,0.3643703758716583,0.049293018877506256
video_01,q003,a yellow car,138.0,0.7428693175315857,0.06587280333042145
video_01,q001,a man with a red backpack,139.0,0.0,
video_01,q002,a cyclist,139.0,0.3726210594177246,0.05495496839284897
video_01,q003,a yellow car,139.0,0.7088906764984131,0.06702941656112671
video_01,q001,a man with a red backpack,140.0,0.2857004404067993,0.0798143818974495
video_01,q002,a cyclist,140.0,0.4212294816970825,0.06086453050374985
video_01,q003,a yellow car,140.0,0.7660000324249268,0.08816246688365936
video_01,q001,a man with a red backpack,141.0,0.0,
video_01,q002,a cyclist,141.0,0.35507532954216003,0.05374007672071457
video_01,q003,a yellow car,141.0,0.8090890645980835,0.09041185677051544
video_01,q001,a man with a red backpack,142.0,0.0,
video_01,q002,a cyclist,142.0,0.41306373476982117,0.06532467156648636
video_01,q003,a yellow car,142.0,0.7299887537956238,0.06394942104816437
video_01,q001,a man with a red backpack,143.0,0.0,
video_01,q002,a cyclist,143.0,0.4044019281864166,0.06337364763021469
video_01,q003,a yellow car,143.0,0.7513217329978943,0.06563156843185425
video_01,q001,a man with a red backpack,144.0,0.0,
video_01,q002,a cyclist,144.0,0.3965895473957062,0.06908658891916275
video_01,q003,a yellow car,144.0,0.7418419122695923,0.06333023309707642
video_01,q001,a man with a red backpack,145.0,0.0,
video_01,q002,a cyclist,145.0,0.44478002190589905,0.08820033818483353
video_01,q003,a yellow car,145.0,0.6493912935256958,0.06251569092273712
video_01,q001,a man with a red backpack,146.0,0.25494351983070374,0.05744829401373863
video_01,q002,a cyclist,146.0,0.4024285078048706,0.07011136412620544
video_01,q003,a yellow car,146.0,0.6065078973770142,0.06529586017131805
video_01,q001,a man with a red backpack,147.0,0.25257620215415955,0.06450948864221573
video_01,q002,a cyclist,147.0,0.44148069620132446,0.06587840616703033
video_01,q003,a yellow car,147.0,0.662760853767395,0.07196660339832306
video_01,q001,a man with a red backpack,148.0,0.25647297501564026,0.05243348330259323
video_01,q002,a cyclist,148.0,0.4477682113647461,0.0680466815829277
video_01,q003,a yellow car,148.0,0.6499800086021423,0.06613993644714355
video_01,q001,a man with a red backpack,149.0,0.2713213562965393,0.07043160498142242
video_01,q002,a cyclist,149.0,0.3475189805030823,0.08508655428886414
video_01,q003,a yellow car,149.0,0.6290392875671387,0.07020735740661621
video_01,q001,a man with a red backpack,150.0,0.2695719599723816,0.06031222641468048
video_01,q002,a cyclist,150.0,0.4206336736679077,0.0536770224571228
video_01,q003,a yellow car,150.0,0.7248086929321289,0.08949558436870575
video_01,q001,a man with a red backpack,151.0,0.29038673639297485,0.0353512279689312
video_01,q002,a cyclist,151.0,0.4971562623977661,0.058731287717819214
video_01,q003,a yellow car,151.0,0.739270806312561,0.08440688997507095
video_01,q001,a man with a red backpack,152.0,0.3027981221675873,0.030480703338980675
video_01,q002,a cyclist,152.0,0.4282303750514984,0.05989277362823486
video_01,q003,a yellow car,152.0,0.7296271920204163,0.08103986084461212
video_01,q001,a man with a red backpack,153.0,0.0,
video_01,q002,a cyclist,153.0,0.330904483795166,0.05680513381958008
video_01,q003,a yellow car,153.0,0.649078905582428,0.08080573379993439
video_01,q001,a man with a red backpack,154.0,0.0,
video_01,q002,a cyclist,154.0,0.34311261773109436,0.09093482792377472
video_01,q003,a yellow car,154.0,0.5680177807807922,0.08553069084882736
video_01,q001,a man with a red backpack,155.0,0.0,
video_01,q002,a cyclist,155.0,0.3161475956439972,0.07851221412420273
video_01,q003,a yellow car,155.0,0.620044469833374,0.05995998531579971
video_01,q001,a man with a red backpack,156.0,0.323106974363327,0.01645716279745102
video_01,q002,a cyclist,156.0,0.4198945462703705,0.10398036241531372
video_01,q003,a yellow car,156.0,0.7031468152999878,0.06174900382757187
video_01,q001,a man with a red backpack,157.0,0.297793984413147,0.038486793637275696
video_01,q002,a cyclist,157.0,0.39916253089904785,0.08963079750537872
video_01,q003,a yellow car,157.0,0.7300069332122803,0.07551731169223785
video_01,q001,a man with a red backpack,158.0,0.3149113357067108,0.035446930676698685
video_01,q002,a cyclist,158.0,0.3512776792049408,0.08355288207530975
video_01,q003,a yellow car,158.0,0.5146397948265076,0.05797173082828522
video_01,q001,a man with a red backpack,159.0,0.3279699981212616,0.022518066689372063
video_01,q002,a cyclist,159.0,0.38371503353118896,0.0854402631521225
video_01,q003,a yellow car,159.0,0.4761597812175751,0.08978170156478882
video_01,q001,a man with a red backpack,160.0,0.287040114402771,0.04671500250697136
video_01,q002,a cyclist,160.0,0.3489611744880676,0.07949404418468475
video_01,q003,a yellow car,160.0,0.4408222734928131,0.05567766726016998
video_01,q001,a man with a red backpack,161.0,0.0,
video_01,q002,a cyclist,161.0,0.3207927644252777,0.05676010996103287
video_01,q003,a yellow car,161.0,0.4076380133628845,0.056954313069581985
video_01,q001,a man with a red backpack,162.0,0.0,
video_01,q002,a cyclist,162.0,0.33459246158599854,0.05851830169558525
video_01,q003,a yellow car,162.0,0.6357102990150452,0.056805796921253204
video_01,q001,a man with a red backpack,163.0,0.25949984788894653,0.021320587024092674
video_01,q002,a cyclist,163.0,0.3608418107032776,0.09665486216545105
video_01,q003,a yellow car,163.0,0.5115112066268921,0.07604021579027176
video_01,q001,a man with a red backpack,164.0,0.0,
video_01,q002,a cyclist,164.0,0.3886939585208893,0.09851287305355072
